reading_id,household_id,timestamp,energy_kwh,voltage,current_amps,appliance_category,is_solar_powered,grid_status
56,HH_001,2024-01-03 07:00:00,0.7666,227.48,3.37,Other,0,On-grid
57,HH_001,2024-01-03 08:00:00,0.771,214.37,3.6,Entertainment,0,On-grid
58,HH_001,2024-01-03 09:00:00,0.6082,223.63,2.72,Other,0,On-grid
59,HH_001,2024-01-03 10:00:00,0.3907,222.36,1.76,Entertainment,0,On-grid
60,HH_001,2024-01-03 11:00:00,0.4945,217.44,2.27,Other,0,On-grid
61,HH_001,2024-01-03 12:00:00,0.3008,219.37,1.37,Other,0,On-grid
62,HH_001,2024-01-03 13:00:00,0.3792,225.47,1.68,Cooling,0,On-grid
63,HH_001,2024-01-03 14:00:00,0.4381,217.87,2.01,Lighting,0,On-grid
64,HH_001,2024-01-03 15:00:00,0.4491,211.73,2.12,Other,0,On-grid
65,HH_001,2024-01-03 16:00:00,0.5033,213.52,2.36,Cooling,0,On-grid
66,HH_001,2024-01-03 17:00:00,0.8805,212.48,4.14,Cooking,0,On-grid
67,HH_001,2024-01-03 18:00:00,0.9227,219.73,4.2,Cooking,0,On-grid
68,HH_001,2024-01-03 19:00:00,1.4887,225.63,6.6,Entertainment,0,On-grid
69,HH_001,2024-01-03 20:00:00,1.1798,214.47,5.5,Other,0,On-grid
70,HH_001,2024-01-03 21:00:00,1.093,220.3,4.96,Entertainment,0,On-grid
71,HH_001,2024-01-03 22:00:00,0.6149,219.28,2.8,Cooking,0,On-grid
72,HH_001,2024-01-03 23:00:00,0.2975,217.28,1.37,Lighting,0,On-grid
73,HH_001,2024-01-04 00:00:00,0.1309,227.52,0.58,Cooling,0,On-grid
74,HH_001,2024-01-04 01:00:00,0.206,209.63,0.98,Cooking,0,On-grid
75,HH_001,2024-01-04 02:00:00,0.0,216.11,0.0,Cooling,0,On-grid
76,HH_001,2024-01-04 03:00:00,0.1452,226.36,0.64,Cooling,0,On-grid
77,HH_001,2024-01-04 04:00:00,0.1291,214.35,0.6,Cooking,0,On-grid
78,HH_001,2024-01-04 05:00:00,0.1107,222.45,0.5,Cooling,0,On-grid
79,HH_001,2024-01-04 06:00:00,0.582,218.13,2.67,Other,0,On-grid
80,HH_001,2024-01-04 07:00:00,0.8729,225.8,3.87,Cooking,0,On-grid
81,HH_001,2024-01-04 08:00:00,0.7945,218.45,3.64,Lighting,0,On-grid
82,HH_001,2024-01-04 09:00:00,0.6245,213.74,2.92,Charging,0,On-grid
83,HH_001,2024-01-04 10:00:00,0.4108,225.25,1.82,Cooling,0,On-grid
84,HH_001,2024-01-04 11:00:00,0.2583,223.03,1.16,Cooling,0,On-grid
85,HH_001,2024-01-04 12:00:00,0.2189,228.48,0.96,Other,0,On-grid
86,HH_001,2024-01-04 13:00:00,0.3341,222.0,1.51,Cooling,0,On-grid
87,HH_001,2024-01-04 14:00:00,0.4586,220.75,2.08,Lighting,0,On-grid
88,HH_001,2024-01-04 15:00:00,0.5481,211.45,2.59,Cooling,0,On-grid
89,HH_001,2024-01-04 16:00:00,0.6128,219.08,2.8,Cooling,0,On-grid
90,HH_001,2024-01-04 17:00:00,0.8595,216.11,3.98,Other,0,On-grid
91,HH_001,2024-01-04 18:00:00,1.1397,215.11,5.3,Cooling,0,On-grid
92,HH_001,2024-01-04 19:00:00,1.4272,222.36,6.42,Lighting,0,On-grid
93,HH_001,2024-01-04 20:00:00,1.2192,224.91,5.42,Entertainment,0,On-grid
94,HH_001,2024-01-04 21:00:00,0.7619,213.6,3.57,Lighting,0,On-grid
95,HH_001,2024-01-04 22:00:00,0.6388,216.37,2.95,Entertainment,0,On-grid
96,HH_001,2024-01-04 23:00:00,0.2541,212.97,1.19,Cooling,0,On-grid
97,HH_001,2024-01-05 00:00:00,0.0768,225.27,0.34,Cooling,0,On-grid
98,HH_001,2024-01-05 01:00:00,0.1495,220.92,0.68,Cooling,0,On-grid
99,HH_001,2024-01-05 02:00:00,0.0318,220.61,0.14,Cooling,0,On-grid
100,HH_001,2024-01-05 03:00:00,0.1612,216.48,0.74,Lighting,0,On-grid
101,HH_001,2024-01-05 04:00:00,0.0724,228.85,0.32,Cooling,0,On-grid
102,HH_001,2024-01-05 05:00:00,0.2031,217.19,0.94,Entertainment,0,On-grid
103,HH_001,2024-01-05 06:00:00,0.6466,212.15,3.05,Lighting,0,On-grid
104,HH_001,2024-01-05 07:00:00,0.8944,223.1,4.01,Cooling,0,On-grid
105,HH_001,2024-01-05 08:00:00,0.7785,223.05,3.49,Entertainment,0,On-grid
106,HH_001,2024-01-05 09:00:00,0.6625,222.3,2.98,Cooking,0,On-grid
107,HH_001,2024-01-05 10:00:00,0.4822,221.04,2.18,Cooling,0,On-grid
108,HH_001,2024-01-05 11:00:00,0.2939,225.27,1.3,Other,0,On-grid
109,HH_001,2024-01-05 12:00:00,0.372,223.41,1.67,Other,0,On-grid
110,HH_001,2024-01-05 13:00:00,0.4454,217.42,2.05,Cooling,0,On-grid
111,HH_001,2024-01-05 14:00:00,0.4174,218.45,1.91,Entertainment,0,On-grid
112,HH_001,2024-01-05 15:00:00,0.6192,215.53,2.87,Cooling,0,On-grid
113,HH_001,2024-01-05 16:00:00,0.7085,220.98,3.21,Entertainment,0,On-grid
114,HH_001,2024-01-05 17:00:00,0.92,224.45,4.1,Lighting,0,On-grid
115,HH_001,2024-01-05 18:00:00,1.1312,225.33,5.02,Entertainment,0,On-grid
116,HH_001,2024-01-05 19:00:00,1.3112,227.05,5.78,Entertainment,0,On-grid
117,HH_001,2024-01-05 20:00:00,1.1666,227.27,5.13,Entertainment,0,On-grid
118,HH_001,2024-01-05 21:00:00,0.8685,218.59,3.97,Lighting,0,On-grid
119,HH_001,2024-01-05 22:00:00,0.5247,216.16,2.43,Lighting,0,On-grid
120,HH_001,2024-01-05 23:00:00,0.2974,221.17,1.34,Entertainment,0,On-grid
121,HH_001,2024-01-06 00:00:00,0.2238,218.93,1.02,Cooling,0,On-grid
122,HH_001,2024-01-06 01:00:00,0.0283,221.91,0.13,Cooling,0,On-grid
123,HH_001,2024-01-06 02:00:00,0.0875,222.46,0.39,Cooling,0,On-grid
124,HH_001,2024-01-06 03:00:00,0.0272,217.35,0.13,Cooking,0,On-grid
125,HH_001,2024-01-06 04:00:00,0.0272,225.95,0.12,Other,0,On-grid
126,HH_001,2024-01-06 05:00:00,0.2565,217.15,1.18,Cooking,0,On-grid
127,HH_001,2024-01-06 06:00:00,0.5586,223.16,2.5,Cooling,0,On-grid
128,HH_001,2024-01-06 07:00:00,1.0161,228.98,4.44,Charging,0,On-grid
129,HH_001,2024-01-06 08:00:00,0.704,218.06,3.23,Other,0,On-grid
130,HH_001,2024-01-06 09:00:00,0.6214,221.67,2.8,Cooling,0,On-grid
131,HH_001,2024-01-06 10:00:00,0.4367,216.01,2.02,Cooling,0,On-grid
132,HH_001,2024-01-06 11:00:00,0.3725,228.97,1.63,Cooling,0,On-grid
133,HH_001,2024-01-06 12:00:00,0.3362,221.12,1.52,Cooling,0,On-grid
134,HH_001,2024-01-06 13:00:00,0.5645,217.35,2.6,Cooling,0,On-grid
135,HH_001,2024-01-06 14:00:00,0.5011,229.23,2.19,Other,0,On-grid
136,HH_001,2024-01-06 15:00:00,0.5693,225.54,2.52,Other,0,On-grid
137,HH_001,2024-01-06 16:00:00,0.6615,222.54,2.97,Entertainment,0,On-grid
138,HH_001,2024-01-06 17:00:00,1.0037,223.24,4.5,Other,0,On-grid
139,HH_001,2024-01-06 18:00:00,1.1125,220.73,5.04,Entertainment,0,On-grid
140,HH_001,2024-01-06 19:00:00,1.3777,218.03,6.32,Cooling,0,On-grid
141,HH_001,2024-01-06 20:00:00,1.2143,220.23,5.51,Lighting,0,On-grid
142,HH_001,2024-01-06 21:00:00,0.9484,230.82,4.11,Lighting,0,On-grid
143,HH_001,2024-01-06 22:00:00,0.6187,227.89,2.71,Cooling,0,On-grid
144,HH_001,2024-01-06 23:00:00,0.3456,220.93,1.56,Other,0,On-grid
145,HH_001,2024-01-07 00:00:00,0.1165,220.97,0.53,Charging,0,On-grid
146,HH_001,2024-01-07 01:00:00,0.1225,216.5,0.57,Entertainment,0,On-grid
147,HH_001,2024-01-07 02:00:00,0.0331,221.89,0.15,Lighting,0,On-grid
148,HH_001,2024-01-07 03:00:00,0.1924,219.67,0.88,Cooling,0,On-grid
149,HH_001,2024-01-07 04:00:00,0.0,209.01,0.0,Charging,0,On-grid
150,HH_001,2024-01-07 05:00:00,0.0734,223.54,0.33,Entertainment,0,On-grid
151,HH_001,2024-01-07 06:00:00,0.504,224.36,2.25,Cooking,0,On-grid
152,HH_001,2024-01-07 07:00:00,0.9488,219.5,4.32,Entertainment,0,On-grid
153,HH_001,2024-01-07 08:00:00,0.6356,216.54,2.94,Cooking,0,On-grid
154,HH_001,2024-01-07 09:00:00,0.5819,221.76,2.62,Lighting,0,On-grid
155,HH_001,2024-01-07 10:00:00,0.3561,227.22,1.57,Cooling,0,On-grid
156,HH_001,2024-01-07 11:00:00,0.4007,222.28,1.8,Other,0,On-grid
157,HH_001,2024-01-07 12:00:00,0.4232,226.65,1.87,Lighting,0,On-grid
158,HH_001,2024-01-07 13:00:00,0.3897,223.55,1.74,Cooling,0,On-grid
159,HH_001,2024-01-07 14:00:00,0.3993,229.0,1.74,Cooling,0,On-grid
160,HH_001,2024-01-07 15:00:00,0.5346,216.59,2.47,Charging,0,On-grid
161,HH_001,2024-01-07 16:00:00,0.5665,210.55,2.69,Lighting,0,On-grid
162,HH_001,2024-01-07 17:00:00,0.8661,207.88,4.17,Cooling,0,On-grid
163,HH_001,2024-01-07 18:00:00,1.1839,222.13,5.33,Lighting,0,On-grid
164,HH_001,2024-01-07 19:00:00,1.2775,219.76,5.81,Other,0,On-grid
165,HH_001,2024-01-07 20:00:00,1.1997,214.21,5.6,Entertainment,0,On-grid
166,HH_001,2024-01-07 21:00:00,0.8834,220.13,4.01,Cooling,0,On-grid
167,HH_001,2024-01-07 22:00:00,0.5815,216.59,2.68,Lighting,0,On-grid
168,HH_001,2024-01-07 23:00:00,0.2249,218.59,1.03,Entertainment,0,On-grid
169,HH_001,2024-01-08 00:00:00,0.1072,222.86,0.48,Cooking,0,On-grid
170,HH_001,2024-01-08 01:00:00,0.2175,224.62,0.97,Other,0,On-grid
171,HH_001,2024-01-08 02:00:00,0.0795,216.77,0.37,Other,0,On-grid
172,HH_001,2024-01-08 03:00:00,0.1421,223.18,0.64,Other,0,On-grid
173,HH_001,2024-01-08 04:00:00,0.1738,220.99,0.79,Entertainment,0,On-grid
174,HH_001,2024-01-08 05:00:00,0.2802,220.99,1.27,Lighting,0,On-grid
175,HH_001,2024-01-08 06:00:00,0.5511,217.58,2.53,Cooling,0,On-grid
176,HH_001,2024-01-08 07:00:00,0.9392,217.13,4.33,Cooking,0,On-grid
177,HH_001,2024-01-08 08:00:00,0.8796,222.18,3.96,Other,0,On-grid
178,HH_001,2024-01-08 09:00:00,0.6029,220.6,2.73,Entertainment,0,On-grid
179,HH_001,2024-01-08 10:00:00,0.4307,211.66,2.03,Charging,0,On-grid
180,HH_001,2024-01-08 11:00:00,0.3388,227.87,1.49,Cooling,0,On-grid
181,HH_001,2024-01-08 12:00:00,0.3918,225.24,1.74,Charging,0,On-grid
182,HH_001,2024-01-08 13:00:00,0.4559,219.81,2.07,Cooling,0,On-grid
183,HH_001,2024-01-08 14:00:00,0.4989,212.12,2.35,Cooling,0,On-grid
184,HH_001,2024-01-08 15:00:00,0.6357,226.9,2.8,Cooking,0,On-grid
185,HH_001,2024-01-08 16:00:00,0.6371,221.3,2.88,Cooling,0,On-grid
186,HH_001,2024-01-08 17:00:00,0.8981,225.86,3.98,Other,0,On-grid
187,HH_001,2024-01-08 18:00:00,1.1829,205.76,5.75,Cooling,0,On-grid
188,HH_001,2024-01-08 19:00:00,1.3228,214.4,6.17,Lighting,0,On-grid
189,HH_001,2024-01-08 20:00:00,1.1029,225.8,4.88,Lighting,0,On-grid
190,HH_001,2024-01-08 21:00:00,0.8965,222.39,4.03,Lighting,0,On-grid
191,HH_001,2024-01-08 22:00:00,0.6058,213.59,2.84,Other,0,On-grid
192,HH_001,2024-01-08 23:00:00,0.1833,217.86,0.84,Charging,0,On-grid
193,HH_001,2024-01-09 00:00:00,0.1239,218.25,0.57,Charging,0,On-grid
194,HH_001,2024-01-09 01:00:00,0.0884,230.38,0.38,Other,0,On-grid
195,HH_001,2024-01-09 02:00:00,0.1523,221.19,0.69,Cooking,0,On-grid
196,HH_001,2024-01-09 03:00:00,0.0696,219.81,0.32,Other,0,On-grid
197,HH_001,2024-01-09 04:00:00,0.1299,219.6,0.59,Cooling,0,On-grid
198,HH_001,2024-01-09 05:00:00,0.2187,221.73,0.99,Cooling,0,On-grid
199,HH_001,2024-01-09 06:00:00,0.7566,219.3,3.45,Lighting,0,On-grid
200,HH_001,2024-01-09 07:00:00,0.9831,214.8,4.58,Entertainment,0,On-grid
201,HH_001,2024-01-09 08:00:00,0.7032,229.57,3.06,Cooking,0,On-grid
202,HH_001,2024-01-09 09:00:00,0.6653,222.48,2.99,Entertainment,0,On-grid
203,HH_001,2024-01-09 10:00:00,0.6303,219.71,2.87,Cooling,0,On-grid
204,HH_001,2024-01-09 11:00:00,0.4579,225.94,2.03,Entertainment,0,On-grid
205,HH_001,2024-01-09 12:00:00,0.4975,214.27,2.32,Entertainment,0,On-grid
206,HH_001,2024-01-09 13:00:00,0.3702,221.64,1.67,Charging,0,On-grid
207,HH_001,2024-01-09 14:00:00,0.571,222.27,2.57,Cooling,0,On-grid
208,HH_001,2024-01-09 15:00:00,0.6142,213.86,2.87,Charging,0,On-grid
209,HH_001,2024-01-09 16:00:00,0.5777,226.88,2.55,Cooking,0,On-grid
210,HH_001,2024-01-09 17:00:00,0.887,220.08,4.03,Cooling,0,On-grid
211,HH_001,2024-01-09 18:00:00,1.2446,215.77,5.77,Cooking,0,On-grid
212,HH_001,2024-01-09 19:00:00,1.3021,213.38,6.1,Lighting,0,On-grid
213,HH_001,2024-01-09 20:00:00,1.3232,225.05,5.88,Cooking,0,On-grid
214,HH_001,2024-01-09 21:00:00,0.9736,218.38,4.46,Cooking,0,On-grid
215,HH_001,2024-01-09 22:00:00,0.4958,211.77,2.34,Cooling,0,On-grid
216,HH_001,2024-01-09 23:00:00,0.4038,222.82,1.81,Charging,0,On-grid
217,HH_001,2024-01-10 00:00:00,0.2069,221.41,0.93,Other,0,On-grid
218,HH_001,2024-01-10 01:00:00,0.056,218.6,0.26,Cooling,0,On-grid
219,HH_001,2024-01-10 02:00:00,0.0009,214.48,0.0,Cooling,0,On-grid
220,HH_001,2024-01-10 03:00:00,0.1439,212.15,0.68,Cooling,0,On-grid
221,HH_001,2024-01-10 04:00:00,0.0013,218.88,0.01,Entertainment,0,On-grid
222,HH_001,2024-01-10 05:00:00,0.1579,213.33,0.74,Cooking,0,On-grid
223,HH_001,2024-01-10 06:00:00,0.4805,222.2,2.16,Cooling,0,On-grid
224,HH_001,2024-01-10 07:00:00,0.9168,226.82,4.04,Entertainment,0,On-grid
225,HH_001,2024-01-10 08:00:00,0.7592,222.72,3.41,Charging,0,On-grid
226,HH_001,2024-01-10 09:00:00,0.5474,216.69,2.53,Cooking,0,On-grid
227,HH_001,2024-01-10 10:00:00,0.3567,216.54,1.65,Cooling,0,On-grid
228,HH_001,2024-01-10 11:00:00,0.3529,226.24,1.56,Lighting,0,On-grid
229,HH_001,2024-01-10 12:00:00,0.3123,230.73,1.35,Cooking,0,On-grid
230,HH_001,2024-01-10 13:00:00,0.4225,222.07,1.9,Lighting,0,On-grid
231,HH_001,2024-01-10 14:00:00,0.4533,219.26,2.07,Cooling,0,On-grid
232,HH_001,2024-01-10 15:00:00,0.4832,213.15,2.27,Cooling,0,On-grid
233,HH_001,2024-01-10 16:00:00,0.5397,228.2,2.37,Charging,0,On-grid
234,HH_001,2024-01-10 17:00:00,0.9427,228.14,4.13,Lighting,0,On-grid
235,HH_001,2024-01-10 18:00:00,1.0814,214.93,5.03,Cooking,0,On-grid
236,HH_001,2024-01-10 19:00:00,1.3526,216.15,6.26,Entertainment,0,On-grid
237,HH_001,2024-01-10 20:00:00,1.2175,212.22,5.74,Entertainment,0,On-grid
238,HH_001,2024-01-10 21:00:00,0.7505,221.87,3.38,Entertainment,0,On-grid
239,HH_001,2024-01-10 22:00:00,0.7254,222.1,3.27,Lighting,0,On-grid
240,HH_001,2024-01-10 23:00:00,0.3419,220.38,1.55,Entertainment,0,On-grid
241,HH_001,2024-01-11 00:00:00,0.1627,212.93,0.76,Cooling,0,On-grid
242,HH_001,2024-01-11 01:00:00,0.0573,226.18,0.25,Charging,0,On-grid
243,HH_001,2024-01-11 02:00:00,0.0,218.42,0.0,Other,0,On-grid
244,HH_001,2024-01-11 03:00:00,0.166,220.71,0.75,Entertainment,0,On-grid
245,HH_001,2024-01-11 04:00:00,0.0894,218.45,0.41,Other,0,On-grid
246,HH_001,2024-01-11 05:00:00,0.2031,224.78,0.9,Cooling,0,On-grid
247,HH_001,2024-01-11 06:00:00,0.5411,213.34,2.54,Other,0,On-grid
248,HH_001,2024-01-11 07:00:00,0.7623,222.54,3.43,Cooking,0,On-grid
249,HH_001,2024-01-11 08:00:00,0.7791,232.46,3.35,Cooking,0,On-grid
250,HH_001,2024-01-11 09:00:00,0.6061,219.51,2.76,Charging,0,On-grid
251,HH_001,2024-01-11 10:00:00,0.4701,221.61,2.12,Cooling,0,On-grid
252,HH_001,2024-01-11 11:00:00,0.3619,216.22,1.67,Entertainment,0,On-grid
253,HH_001,2024-01-11 12:00:00,0.3771,219.95,1.71,Other,0,On-grid
254,HH_001,2024-01-11 13:00:00,0.3731,224.09,1.67,Charging,0,On-grid
255,HH_001,2024-01-11 14:00:00,0.4508,213.44,2.11,Cooking,0,On-grid
256,HH_001,2024-01-11 15:00:00,0.4793,219.07,2.19,Cooking,0,On-grid
257,HH_001,2024-01-11 16:00:00,0.6042,222.65,2.71,Cooling,0,On-grid
258,HH_001,2024-01-11 17:00:00,0.9048,210.12,4.31,Cooking,0,On-grid
259,HH_001,2024-01-11 18:00:00,1.0343,223.0,4.64,Entertainment,0,On-grid
260,HH_001,2024-01-11 19:00:00,1.334,227.45,5.86,Other,0,On-grid
261,HH_001,2024-01-11 20:00:00,1.2112,218.31,5.55,Lighting,0,On-grid
262,HH_001,2024-01-11 21:00:00,0.854,218.49,3.91,Lighting,0,On-grid
263,HH_001,2024-01-11 22:00:00,0.612,220.02,2.78,Entertainment,0,On-grid
264,HH_001,2024-01-11 23:00:00,0.3712,212.58,1.75,Cooling,0,On-grid
265,HH_001,2024-01-12 00:00:00,0.0475,218.88,0.22,Cooling,0,On-grid
266,HH_001,2024-01-12 01:00:00,0.1531,223.8,0.68,Lighting,0,On-grid
267,HH_001,2024-01-12 02:00:00,0.0318,207.04,0.15,Cooling,0,On-grid
268,HH_001,2024-01-12 03:00:00,0.034,221.96,0.15,Cooling,0,On-grid
269,HH_001,2024-01-12 04:00:00,0.0739,222.9,0.33,Cooling,0,On-grid
270,HH_001,2024-01-12 05:00:00,0.2397,219.21,1.09,Cooling,0,On-grid
271,HH_001,2024-01-12 06:00:00,0.5668,215.58,2.63,Cooling,0,On-grid
272,HH_001,2024-01-12 07:00:00,0.7971,211.93,3.76,Charging,0,On-grid
273,HH_001,2024-01-12 08:00:00,0.6998,225.2,3.11,Cooking,0,On-grid
274,HH_001,2024-01-12 09:00:00,0.6508,217.56,2.99,Other,0,On-grid
275,HH_001,2024-01-12 10:00:00,0.6118,216.97,2.82,Other,0,On-grid
276,HH_001,2024-01-12 11:00:00,0.4726,227.81,2.07,Cooling,0,On-grid
277,HH_001,2024-01-12 12:00:00,0.4095,216.61,1.89,Entertainment,0,On-grid
278,HH_001,2024-01-12 13:00:00,0.3476,220.92,1.57,Lighting,0,On-grid
279,HH_001,2024-01-12 14:00:00,0.349,215.14,1.62,Charging,0,On-grid
280,HH_001,2024-01-12 15:00:00,0.4465,222.68,2.01,Lighting,0,On-grid
281,HH_001,2024-01-12 16:00:00,0.6889,223.59,3.08,Lighting,0,On-grid
282,HH_001,2024-01-12 17:00:00,0.9747,216.22,4.51,Cooling,0,On-grid
283,HH_001,2024-01-12 18:00:00,1.1008,218.75,5.03,Entertainment,0,On-grid
284,HH_001,2024-01-12 19:00:00,1.3842,230.83,6.0,Other,0,On-grid
285,HH_001,2024-01-12 20:00:00,1.1517,224.64,5.13,Entertainment,0,On-grid
286,HH_001,2024-01-12 21:00:00,1.0146,222.54,4.56,Entertainment,0,On-grid
287,HH_001,2024-01-12 22:00:00,0.5726,215.8,2.65,Cooling,0,On-grid
288,HH_001,2024-01-12 23:00:00,0.2216,210.17,1.05,Entertainment,0,On-grid
289,HH_001,2024-01-13 00:00:00,0.1334,218.62,0.61,Entertainment,0,On-grid
290,HH_001,2024-01-13 01:00:00,0.177,217.08,0.82,Other,0,On-grid
291,HH_001,2024-01-13 02:00:00,0.0625,221.41,0.28,Cooling,0,On-grid
292,HH_001,2024-01-13 03:00:00,0.1118,223.67,0.5,Entertainment,0,On-grid
293,HH_001,2024-01-13 04:00:00,0.0886,213.52,0.41,Other,0,On-grid
294,HH_001,2024-01-13 05:00:00,0.18,216.74,0.83,Cooling,0,On-grid
295,HH_001,2024-01-13 06:00:00,0.6929,220.11,3.15,Cooling,0,On-grid
296,HH_001,2024-01-13 07:00:00,0.9181,233.01,3.94,Cooling,0,On-grid
297,HH_001,2024-01-13 08:00:00,0.8065,221.91,3.63,Charging,0,On-grid
298,HH_001,2024-01-13 09:00:00,0.5896,213.88,2.76,Cooking,0,On-grid
299,HH_001,2024-01-13 10:00:00,0.4343,215.75,2.01,Cooling,0,On-grid
300,HH_001,2024-01-13 11:00:00,0.5002,221.97,2.25,Cooking,0,On-grid
301,HH_001,2024-01-13 12:00:00,0.4647,216.95,2.14,Lighting,0,On-grid
302,HH_001,2024-01-13 13:00:00,0.3161,223.24,1.42,Cooling,0,On-grid
303,HH_001,2024-01-13 14:00:00,0.3834,217.81,1.76,Other,0,On-grid
304,HH_001,2024-01-13 15:00:00,0.6545,218.0,3.0,Cooling,0,On-grid
305,HH_001,2024-01-13 16:00:00,0.4936,211.2,2.34,Lighting,0,On-grid
306,HH_001,2024-01-13 17:00:00,0.7856,226.31,3.47,Lighting,0,On-grid
307,HH_001,2024-01-13 18:00:00,1.0836,232.79,4.65,Lighting,0,On-grid
308,HH_001,2024-01-13 19:00:00,1.4657,230.03,6.37,Entertainment,0,On-grid
309,HH_001,2024-01-13 20:00:00,1.2768,222.96,5.73,Entertainment,0,On-grid
310,HH_001,2024-01-13 21:00:00,0.8386,219.98,3.81,Cooking,0,On-grid
311,HH_001,2024-01-13 22:00:00,0.6522,224.78,2.9,Cooling,0,On-grid
