date,household_id,region,has_solar,total_kwh,peak_kwh,off_peak_kwh,estimated_cost_usd,solar_savings_usd
2024-01-01,HH_022,Urban,1,6.6631,4.9696,1.6935,1.496425,0.33315500000000003
2024-01-01,HH_023,Semi-urban,1,5.6002,4.2758,1.3244,1.2676100000000001,0.28001000000000004
2024-01-01,HH_024,Semi-urban,1,8.6191,5.406,3.2131,1.833465,0.430955
2024-01-01,HH_025,Semi-urban,0,8.5208,5.2653,3.2554999999999996,1.8046499999999999,0.0
2024-01-01,HH_026,Rural,0,5.2478,3.1403,2.1075,1.1012,0.0
2024-01-01,HH_027,Urban,1,6.5443,4.7804,1.7639,1.4596850000000001,0.32721500000000003
2024-01-01,HH_028,Rural,0,5.1478,3.1551,1.9927000000000001,1.08768,0.0
2024-01-01,HH_029,Rural,1,4.6938,3.0946,1.5992,1.0135299999999998,0.23469000000000004
2024-01-01,HH_030,Urban,1,5.7379,4.6845,1.0534,1.329135,0.286895
2024-01-01,HH_031,Rural,1,3.6003,2.832,0.7683,0.823245,0.180015
2024-01-01,HH_032,Urban,0,8.8841,5.6474,3.2367,1.8973550000000001,0.0
2024-01-01,HH_033,Urban,0,13.1527,8.2279,4.924799999999999,2.795695,0.0
2024-01-01,HH_034,Rural,0,5.3925,3.1903,2.2022,1.127905,0.0
2024-01-01,HH_035,Rural,0,5.2171,3.2406,1.9765,1.106625,0.0
2024-01-01,HH_036,Rural,0,5.1974,3.2437,1.9537,1.10398,0.0
2024-01-01,HH_037,Semi-urban,0,8.7032,5.2539,3.4493,1.83087,0.0
2024-01-01,HH_038,Urban,0,8.4157,5.2473,3.1684,1.787085,0.0
2024-01-01,HH_039,Rural,0,5.0079,3.1377,1.8701999999999999,1.0649549999999999,0.0
2024-01-01,HH_040,Semi-urban,0,8.6774,5.3094,3.368,1.83255,0.0
2024-01-01,HH_041,Urban,0,8.4966,5.1722,3.3244,1.79171,0.0
2024-01-01,HH_042,Semi-urban,0,8.6953,5.3738,3.3215,1.841675,0.0
2024-01-01,HH_043,Urban,1,12.4962,8.188600000000001,4.3076,2.69329,0.6248100000000001
2024-01-01,HH_044,Rural,0,5.0976,3.2019,1.8957,1.08483,0.0
2024-01-01,HH_045,Semi-urban,0,8.865,5.5822,3.2828,1.8879700000000001,0.0
2024-01-01,HH_046,Rural,0,5.2192,3.2717,1.9475,1.11005,0.0
2024-01-01,HH_047,Semi-urban,1,7.0142,4.8366999999999996,2.1774999999999998,1.5357999999999998,0.35071
2024-01-01,HH_048,Rural,0,4.9521,3.1572,1.7949000000000002,1.058535,0.0
2024-01-01,HH_049,Rural,0,5.4849000000000006,3.3041,2.1808,1.153145,0.0
2024-01-01,HH_050,Urban,0,13.3379,7.972799999999999,5.3651,2.7979649999999996,0.0
2024-01-01,HH_051,Rural,0,5.0817,3.0327,2.049,1.065525,0.0
2024-01-01,HH_052,Rural,0,5.1855,3.2085,1.977,1.098675,0.0
2024-01-01,HH_053,Rural,0,5.1464,3.2905,1.8559,1.10101,0.0
2024-01-01,HH_054,Rural,0,5.0765,3.1922,1.8843,1.080695,0.0
2024-01-01,HH_055,Rural,1,4.1609,3.0151,1.1458,0.9256449999999999,0.208045
2024-01-01,HH_056,Rural,1,4.0644,2.9723,1.0921,0.9068900000000001,0.20322
2024-01-01,HH_057,Urban,0,9.1428,5.695,3.4478,1.9409200000000002,0.0
2024-01-01,HH_058,Urban,0,8.66,5.6431000000000004,3.0168999999999997,1.86331,0.0
2024-01-01,HH_059,Urban,1,8.474,5.2867,3.1873,1.7997699999999999,0.4237
2024-01-01,HH_060,Semi-urban,0,8.6173,5.3468,3.2705,1.827275,0.0
2024-01-01,HH_061,Semi-urban,0,8.7252,5.3565000000000005,3.3687,1.84443,0.0
2024-01-01,HH_062,Semi-urban,0,8.8056,5.4196,3.386,1.8628,0.0
2024-01-02,HH_001,Semi-urban,0,12.7702,7.8229,4.9473,2.69782,0.0
2024-01-02,HH_002,Rural,0,5.1164,3.1315,1.9849,1.08061,0.0
2024-01-02,HH_003,Rural,1,4.6397,3.204,1.4357,1.0163550000000001,0.23198500000000002
2024-01-02,HH_004,Rural,0,5.3183,3.1269,2.1914,1.1104349999999998,0.0
2024-01-02,HH_005,Urban,0,12.2765,7.6765,4.6,2.6091249999999997,0.0
2024-01-02,HH_006,Urban,0,9.1581,5.5424,3.6157,1.9279549999999999,0.0
2024-01-02,HH_007,Urban,1,5.7137,4.3985,1.3152,1.296905,0.285685
2024-01-02,HH_008,Rural,0,5.2101,3.3584,1.8517,1.1173549999999999,0.0
2024-01-02,HH_009,Rural,0,5.3166,3.2065,2.1101,1.11814,0.0
2024-01-02,HH_010,Rural,0,5.1678,3.1745,1.9932999999999998,1.09262,0.0
2024-01-02,HH_011,Urban,0,9.005,5.4827,3.5223,1.8990200000000002,0.0
2024-01-02,HH_012,Rural,1,3.9972,2.8216,1.1756,0.88174,0.19986
2024-01-02,HH_013,Rural,0,5.1110999999999995,3.1752,1.9359,1.084185,0.0
2024-01-02,HH_014,Semi-urban,0,8.7162,5.3929,3.3233,1.84672,0.0
2024-01-02,HH_015,Urban,1,6.0126,4.6243,1.3883,1.36432,0.30063
2024-01-02,HH_016,Urban,1,9.359,7.0165,2.3425000000000002,2.1055,0.46795000000000003
2024-01-02,HH_017,Semi-urban,0,8.7976,5.5012,3.2964,1.8697599999999999,0.0
2024-01-02,HH_018,Rural,1,3.2967,2.6863,0.6104,0.763135,0.164835
2024-01-02,HH_019,Semi-urban,0,8.5449,5.1354,3.4095,1.795275,0.0
2024-01-02,HH_020,Semi-urban,0,8.864,5.3868,3.4772,1.86828,0.0
2024-01-02,HH_021,Rural,1,4.1933,2.9537,1.2396,0.924365,0.209665
2024-01-02,HH_022,Urban,1,7.0806000000000004,5.2088,1.8718,1.58297,0.35403000000000007
2024-01-02,HH_023,Semi-urban,1,5.9858,4.5221,1.4637,1.35008,0.29929
2024-01-02,HH_024,Semi-urban,1,7.9591,5.2732,2.6859,1.721185,0.39795500000000006
2024-01-02,HH_025,Semi-urban,0,8.2996,5.0233,3.2763,1.7472699999999999,0.0
2024-01-02,HH_026,Rural,0,5.1718,3.2407,1.9311,1.09984,0.0
2024-01-02,HH_027,Urban,1,6.7338,5.1175,1.6162999999999998,1.52182,0.33669
2024-01-02,HH_028,Rural,0,5.0982,3.1906,1.9076,1.08379,0.0
2024-01-02,HH_029,Rural,1,4.942,3.1227,1.8193,1.0535700000000001,0.24710000000000001
2024-01-02,HH_030,Urban,1,5.747,4.5638,1.1832,1.31843,0.28735
2024-01-02,HH_031,Rural,1,3.8739,2.8495,1.0244,0.866035,0.193695
2024-01-02,HH_032,Urban,0,8.7399,5.2477,3.4922,1.835755,0.0
2024-01-02,HH_033,Urban,0,13.1503,8.1941,4.9562,2.791955,0.0
2024-01-02,HH_034,Rural,0,5.1249,3.1734999999999998,1.9514,1.086085,0.0
2024-01-02,HH_035,Rural,0,4.9726,3.0905,1.8820999999999999,1.05494,0.0
2024-01-02,HH_036,Rural,0,5.1245,3.1616,1.9628999999999999,1.084835,0.0
2024-01-02,HH_037,Semi-urban,0,8.559899999999999,5.2208,3.3390999999999997,1.8060649999999998,0.0
2024-01-02,HH_038,Urban,0,8.7024,5.1874,3.515,1.8241,0.0
2024-01-02,HH_039,Rural,0,5.1953000000000005,3.2271,1.9682,1.1020050000000001,0.0
2024-01-02,HH_040,Semi-urban,0,9.2637,5.5389,3.7248,1.943445,0.0
2024-01-02,HH_041,Urban,0,8.5853,5.3905,3.1948,1.826845,0.0
2024-01-02,HH_042,Semi-urban,0,8.8952,5.5284,3.3668,1.8871200000000001,0.0
2024-01-02,HH_043,Urban,1,12.2231,8.0661,4.157,2.640075,0.6111550000000001
2024-01-02,HH_044,Rural,0,5.2309,3.2641999999999998,1.9667,1.111055,0.0
2024-01-02,HH_045,Semi-urban,0,8.7739,5.2385,3.5354,1.839935,0.0
2024-01-02,HH_046,Rural,0,5.2407,3.0631,2.1776,1.092415,0.0
2024-01-02,HH_047,Semi-urban,1,6.5497,4.8721,1.6776,1.469665,0.327485
2024-01-02,HH_048,Rural,0,5.308,3.3093,1.9987,1.12713,0.0
2024-01-02,HH_049,Rural,0,5.2321,3.258,1.9741,1.110615,0.0
2024-01-02,HH_050,Urban,0,13.1298,8.1043,5.0255,2.7799,0.0
2024-01-02,HH_051,Rural,0,5.3852,3.2832,2.102,1.1360999999999999,0.0
2024-01-02,HH_052,Rural,0,5.2128,3.3608000000000002,1.8519999999999999,1.118,0.0
2024-01-02,HH_053,Rural,0,5.3893,3.3784,2.0109,1.146235,0.0
2024-01-02,HH_054,Rural,0,5.2645,3.2183,2.0462,1.111505,0.0
2024-01-02,HH_055,Rural,1,4.3095,3.0326,1.2769,0.949685,0.215475
2024-01-02,HH_056,Rural,1,4.3889,3.0932,1.2957,0.9676549999999999,0.219445
2024-01-02,HH_057,Urban,0,8.4904,5.2757,3.2147,1.80113,0.0
2024-01-02,HH_058,Urban,0,8.6585,5.2168,3.4417,1.820455,0.0
2024-01-02,HH_059,Urban,1,8.3784,5.4017,2.9767,1.79693,0.41891999999999996
2024-01-02,HH_060,Semi-urban,0,8.4921,5.3117,3.1804,1.804985,0.0
2024-01-02,HH_061,Semi-urban,0,8.8384,5.4066,3.4318,1.86642,0.0
2024-01-02,HH_062,Semi-urban,0,8.5311,5.2776000000000005,3.2535,1.807425,0.0
2024-01-03,HH_001,Semi-urban,0,12.979899999999999,8.075899999999999,4.904,2.7545749999999996,0.0
2024-01-03,HH_002,Rural,0,4.9942,3.026,1.9682,1.05173,0.0
2024-01-03,HH_003,Rural,1,4.669,2.9892,1.6798,0.9992699999999999,0.23345
2024-01-03,HH_004,Rural,0,5.3557,3.2568,2.0989,1.129035,0.0
2024-01-03,HH_005,Urban,0,12.5866,7.966200000000001,4.6204,2.68461,0.0
2024-01-03,HH_006,Urban,0,9.020199999999999,5.5126,3.5076,1.90429,0.0
2024-01-03,HH_007,Urban,1,5.7416,4.5683,1.1733,1.3180699999999999,0.28708
2024-01-03,HH_008,Rural,0,5.2761,3.1864,2.0897,1.110055,0.0
2024-01-03,HH_009,Rural,0,5.18,3.2149,1.9651,1.09849,0.0
2024-01-03,HH_010,Rural,0,5.0448,3.0221,2.0227,1.05893,0.0
2024-01-03,HH_011,Urban,0,8.6541,5.1661,3.488,1.8147250000000001,0.0
2024-01-03,HH_012,Rural,1,4.1288,2.7933,1.3355000000000001,0.89865,0.20644
2024-01-03,HH_013,Rural,0,5.0402000000000005,3.1351,1.9051,1.06954,0.0
2024-01-03,HH_014,Semi-urban,0,8.5744,5.4993,3.0751,1.83609,0.0
2024-01-03,HH_015,Urban,1,5.7887,4.647600000000001,1.1411,1.3330650000000002,0.28943500000000005
2024-01-03,HH_016,Urban,1,9.4134,7.3021,2.1113,2.14222,0.47067
2024-01-03,HH_017,Semi-urban,0,8.8622,5.3290999999999995,3.5331,1.86224,0.0
2024-01-03,HH_018,Rural,1,3.5031,2.7654,0.7377,0.8020050000000001,0.175155
2024-01-03,HH_019,Semi-urban,0,9.007,5.4724,3.5346,1.8982900000000003,0.0
2024-01-03,HH_020,Semi-urban,0,9.1577,5.6987,3.459,1.943525,0.0
2024-01-03,HH_021,Rural,1,4.183,3.0372,1.1458,0.9311699999999999,0.20915
2024-01-03,HH_022,Urban,1,6.8018,5.0243,1.7775,1.5227,0.34009
2024-01-03,HH_023,Semi-urban,1,5.8991,4.7749,1.1242,1.362355,0.294955
2024-01-03,HH_024,Semi-urban,1,8.1847,4.9971,3.1875999999999998,1.727415,0.409235
2024-01-03,HH_025,Semi-urban,0,8.906,5.4664,3.4396,1.88254,0.0
2024-01-03,HH_026,Rural,0,5.2686,3.274,1.9946,1.11769,0.0
2024-01-03,HH_027,Urban,1,7.0244,4.9943,2.0301,1.55309,0.35122000000000003
2024-01-03,HH_028,Rural,0,5.4001,3.3798,2.0202999999999998,1.1479949999999999,0.0
2024-01-03,HH_029,Rural,1,4.8682,3.2239,1.6443,1.0526200000000001,0.24341000000000002
2024-01-03,HH_030,Urban,1,6.0023,4.8137,1.1886,1.381715,0.300115
2024-01-03,HH_031,Rural,1,3.7486,2.9157,0.8329,0.8538600000000001,0.18743
2024-01-03,HH_032,Urban,0,8.3921,5.1723,3.2197999999999998,1.7760449999999999,0.0
2024-01-03,HH_033,Urban,0,13.089500000000001,8.2841,4.8054,2.791835,0.0
2024-01-03,HH_034,Rural,0,5.3833,3.4308,1.9525,1.150575,0.0
2024-01-03,HH_035,Rural,0,5.1617,3.1581,2.0036,1.090065,0.0
2024-01-03,HH_036,Rural,0,5.1141,3.1253,1.9888000000000001,1.0796450000000002,0.0
2024-01-03,HH_037,Semi-urban,0,8.4701,5.2215,3.2486,1.792665,0.0
2024-01-03,HH_038,Urban,0,9.1873,5.6065000000000005,3.5808,1.938745,0.0
2024-01-03,HH_039,Rural,0,5.2879000000000005,3.2202,2.0677,1.115205,0.0
2024-01-03,HH_040,Semi-urban,0,8.8477,5.2011,3.6466,1.8472650000000002,0.0
2024-01-03,HH_041,Urban,0,8.6987,5.3826,3.3161,1.843065,0.0
2024-01-03,HH_042,Semi-urban,0,8.8991,5.5188,3.3803,1.886745,0.0
2024-01-03,HH_043,Urban,1,12.7182,7.4748,5.2434,2.6552100000000003,0.63591
2024-01-03,HH_044,Rural,0,5.4086,3.2640000000000002,2.1446,1.13769,0.0
2024-01-03,HH_045,Semi-urban,0,8.287,5.1707,3.1163000000000003,1.7601200000000001,0.0
2024-01-03,HH_046,Rural,0,5.1619,3.1635,1.9984,1.090635,0.0
2024-01-03,HH_047,Semi-urban,1,7.3610999999999995,5.2572,2.1039,1.629885,0.368055
2024-01-03,HH_048,Rural,0,4.9848,3.1776,1.8072000000000001,1.06548,0.0
2024-01-03,HH_049,Rural,0,5.1399,3.2022,1.9377,1.091205,0.0
2024-01-03,HH_050,Urban,0,12.705,7.9449,4.7600999999999996,2.70024,0.0
2024-01-03,HH_051,Rural,0,5.1769,3.122,2.0549,1.088735,0.0
2024-01-03,HH_052,Rural,0,5.2804,3.158,2.1224,1.10786,0.0
2024-01-03,HH_053,Rural,0,5.233,3.2365,1.9965,1.1086,0.0
2024-01-03,HH_054,Rural,0,5.2514,3.2284,2.023,1.11055,0.0
2024-01-03,HH_055,Rural,1,4.0527,2.8808,1.1719,0.8959849999999999,0.202635
2024-01-03,HH_056,Rural,1,4.1514999999999995,3.0569,1.0946,0.928415,0.20757499999999998
2024-01-03,HH_057,Urban,0,8.9758,5.5866,3.3891999999999998,1.90503,0.0
2024-01-03,HH_058,Urban,0,8.5935,5.5945,2.999,1.848475,0.0
2024-01-03,HH_059,Urban,1,8.2543,5.2828,2.9715,1.766425,0.41271500000000005
2024-01-03,HH_060,Semi-urban,0,8.7004,5.2832,3.4172,1.83338,0.0
2024-01-03,HH_061,Semi-urban,0,8.3397,5.3853,2.9544,1.789485,0.0
2024-01-03,HH_062,Semi-urban,0,8.6025,5.255599999999999,3.3468999999999998,1.8159349999999996,0.0
2024-01-04,HH_001,Semi-urban,0,12.7378,8.0607,4.6771,2.71674,0.0
2024-01-04,HH_002,Rural,0,5.4771,3.4123,2.0648,1.162795,0.0
2024-01-04,HH_003,Rural,1,4.5866,3.0254000000000003,1.5612,0.99053,0.22933
2024-01-04,HH_004,Rural,0,5.3444,3.2217,2.1227,1.1238299999999999,0.0
2024-01-04,HH_005,Urban,0,13.2126,8.0185,5.1941,2.78374,0.0
2024-01-04,HH_006,Urban,0,8.5694,5.3327,3.2367,1.81868,0.0
2024-01-04,HH_007,Urban,1,5.7034,4.578399999999999,1.125,1.3133499999999998,0.28517000000000003
2024-01-04,HH_008,Rural,0,5.1044,3.1947,1.9097,1.08513,0.0
2024-01-04,HH_009,Rural,0,5.2434,3.1864,2.057,1.10515,0.0
2024-01-04,HH_010,Rural,0,5.0797,3.18,1.8997,1.079955,0.0
2024-01-04,HH_011,Urban,0,8.591,5.2825999999999995,3.3084,1.8169099999999998,0.0
2024-01-04,HH_012,Rural,1,4.1693,2.993,1.1763,0.9246949999999999,0.208465
2024-01-04,HH_013,Rural,0,5.251,3.2806,1.9704,1.11571,0.0
2024-01-04,HH_014,Semi-urban,0,8.7399,5.3886,3.3513,1.8498450000000002,0.0
2024-01-04,HH_015,Urban,1,5.8839,4.6212,1.2627,1.344705,0.294195
2024-01-04,HH_016,Urban,1,9.144,7.2484,1.8956,2.09644,0.45720000000000005
2024-01-04,HH_017,Semi-urban,0,8.4789,5.2282,3.2507,1.7946550000000001,0.0
2024-01-04,HH_018,Rural,1,3.6055,2.7677,0.8378,0.8175950000000001,0.18027500000000002
2024-01-04,HH_019,Semi-urban,0,8.2676,5.2651,3.0025,1.76665,0.0
2024-01-04,HH_020,Semi-urban,0,8.7388,5.3934999999999995,3.3453,1.8501699999999999,0.0
2024-01-04,HH_021,Rural,1,4.4261,3.09,1.3361,0.972915,0.221305
2024-01-04,HH_022,Urban,1,7.199,5.0405,2.1585,1.5838999999999999,0.35995
2024-01-04,HH_023,Semi-urban,1,5.681,4.2501,1.4309,1.2771599999999999,0.28405
2024-01-04,HH_024,Semi-urban,1,7.9127,5.1635,2.7492,1.703255,0.395635
2024-01-04,HH_025,Semi-urban,0,8.9957,5.7288,3.2669,1.922235,0.0
2024-01-04,HH_026,Rural,0,5.0489,3.2721999999999998,1.7767,1.084555,0.0
2024-01-04,HH_027,Urban,1,6.9392000000000005,4.8984000000000005,2.0408,1.53072,0.34696000000000005
2024-01-04,HH_028,Rural,0,5.3568,3.1136,2.2432,1.1148799999999999,0.0
2024-01-04,HH_029,Rural,1,4.8942,3.0834,1.8108000000000002,1.04247,0.24470999999999998
2024-01-04,HH_030,Urban,1,5.853899999999999,4.6345,1.2193999999999998,1.341535,0.292695
2024-01-04,HH_031,Rural,1,3.6016,2.7987,0.8029,0.82011,0.18008000000000002
2024-01-04,HH_032,Urban,0,8.6993,5.3746,3.3247,1.842355,0.0
2024-01-04,HH_033,Urban,0,12.6846,7.9,4.7846,2.6926900000000002,0.0
2024-01-04,HH_034,Rural,0,5.0821000000000005,3.1537,1.9284000000000001,1.077685,0.0
2024-01-04,HH_035,Rural,0,5.2486,3.3066,1.942,1.11795,0.0
2024-01-04,HH_036,Rural,0,5.1959,3.1248,2.0711,1.0918649999999999,0.0
2024-01-04,HH_037,Semi-urban,0,8.7385,5.4015,3.337,1.8509250000000002,0.0
2024-01-04,HH_038,Urban,0,8.9924,5.4345,3.5579,1.89231,0.0
2024-01-04,HH_039,Rural,0,5.3709,3.2143,2.1566,1.127065,0.0
2024-01-04,HH_040,Semi-urban,0,8.5761,5.0933,3.4828,1.7957450000000001,0.0
2024-01-04,HH_041,Urban,0,8.9027,5.5235,3.3792,1.887755,0.0
2024-01-04,HH_042,Semi-urban,0,8.5813,5.1803,3.401,1.805225,0.0
2024-01-04,HH_043,Urban,1,12.3201,7.953,4.3671,2.643315,0.616005
2024-01-04,HH_044,Rural,0,5.0924,3.2895,1.8029,1.09281,0.0
2024-01-04,HH_045,Semi-urban,0,9.1748,5.5623000000000005,3.6125,1.9324500000000002,0.0
2024-01-04,HH_046,Rural,0,5.5576,3.5217,2.0359,1.18581,0.0
2024-01-04,HH_047,Semi-urban,1,6.6812,4.8229,1.8583,1.48447,0.33406
2024-01-04,HH_048,Rural,0,5.101,3.1109999999999998,1.99,1.07625,0.0
2024-01-04,HH_049,Rural,0,5.0782,3.2314,1.8468,1.08487,0.0
2024-01-04,HH_050,Urban,0,12.285,7.8518,4.4332,2.62793,0.0
2024-01-04,HH_051,Rural,0,4.9083,2.9538,1.9545,1.031625,0.0
2024-01-04,HH_052,Rural,0,4.9376999999999995,2.9552,1.9825,1.036175,0.0
2024-01-04,HH_053,Rural,0,5.1933,3.1586,2.0347,1.094855,0.0
2024-01-04,HH_054,Rural,0,5.1706,3.2266,1.944,1.09825,0.0
2024-01-04,HH_055,Rural,1,4.2928,3.1212,1.1716,0.95604,0.21464
2024-01-04,HH_056,Rural,1,4.0135,2.9388,1.0747,0.895905,0.200675
2024-01-04,HH_057,Urban,0,8.9551,5.2614,3.6937,1.869405,0.0
2024-01-04,HH_058,Urban,0,9.1837,5.8211,3.3626,1.9596650000000002,0.0
2024-01-04,HH_059,Urban,1,8.1246,5.406,2.7186,1.75929,0.40623
2024-01-04,HH_060,Semi-urban,0,9.171100000000001,5.6272,3.5439,1.938385,0.0
2024-01-04,HH_061,Semi-urban,0,9.003,5.3465,3.6565,1.8851,0.0
2024-01-04,HH_062,Semi-urban,0,8.860999999999999,5.2689,3.5921,1.8560400000000001,0.0
2024-01-05,HH_001,Semi-urban,0,13.235,7.9842,5.2508,2.78367,0.0
2024-01-05,HH_002,Rural,0,5.3478,3.2774,2.0704000000000002,1.12991,0.0
2024-01-05,HH_003,Rural,1,4.6752,3.1584,1.5168,1.01712,0.23376000000000002
2024-01-05,HH_004,Rural,0,5.3004999999999995,3.2368,2.0637,1.118755,0.0
2024-01-05,HH_005,Urban,0,12.5455,7.4711,5.0744,2.628935,0.0
2024-01-05,HH_006,Urban,0,8.791599999999999,5.5398,3.2518,1.8727199999999997,0.0
2024-01-05,HH_007,Urban,1,6.1505,4.7955,1.355,1.4021249999999998,0.30752500000000005
2024-01-05,HH_008,Rural,0,5.3028,3.2648,2.0380000000000003,1.1219000000000001,0.0
2024-01-05,HH_009,Rural,0,5.1211,3.2235,1.8976,1.090515,0.0
2024-01-05,HH_010,Rural,0,5.216,3.2655000000000003,1.9505000000000001,1.10895,0.0
2024-01-05,HH_011,Urban,0,9.086,5.6148,3.4712,1.92438,0.0
2024-01-05,HH_012,Rural,1,4.2827,3.0589,1.2238,0.948295,0.21413500000000002
2024-01-05,HH_013,Rural,0,5.1724,3.1969,1.9755,1.09555,0.0
2024-01-05,HH_014,Semi-urban,0,8.3142,5.167,3.1472,1.76383,0.0
2024-01-05,HH_015,Urban,1,5.8804,4.6022,1.2782,1.34228,0.29402
2024-01-05,HH_016,Urban,1,9.7784,7.0879,2.6905,2.1755500000000003,0.48892
2024-01-05,HH_017,Semi-urban,0,8.3505,5.2805,3.07,1.780625,0.0
2024-01-05,HH_018,Rural,1,3.3926000000000003,2.6382000000000003,0.7544,0.77271,0.16963000000000003
2024-01-05,HH_019,Semi-urban,0,8.3537,5.2206,3.1330999999999998,1.775115,0.0
2024-01-05,HH_020,Semi-urban,0,8.3857,5.3964,2.9893,1.797495,0.0
2024-01-05,HH_021,Rural,1,4.2225,3.0175,1.205,0.935125,0.211125
2024-01-05,HH_022,Urban,1,7.0333,5.0547,1.9786000000000001,1.5604650000000002,0.351665
2024-01-05,HH_023,Semi-urban,1,5.9437999999999995,4.6988,1.245,1.36145,0.29719
2024-01-05,HH_024,Semi-urban,1,7.9674,5.1554,2.812,1.71065,0.39837
2024-01-05,HH_025,Semi-urban,0,8.5814,5.4351,3.1463,1.8307200000000001,0.0
2024-01-05,HH_026,Rural,0,5.2757,3.3258,1.9499,1.123935,0.0
2024-01-05,HH_027,Urban,1,6.3696,4.691,1.6785999999999999,1.42454,0.31848000000000004
2024-01-05,HH_028,Rural,0,5.1999,3.0687,2.1312,1.0868550000000001,0.0
2024-01-05,HH_029,Rural,1,4.976,3.1363,1.8397,1.0600299999999998,0.24880000000000002
2024-01-05,HH_030,Urban,1,5.8332,4.5775,1.2557,1.33273,0.29166
2024-01-05,HH_031,Rural,1,3.6263,2.8427,0.7836000000000001,0.8282149999999999,0.181315
2024-01-05,HH_032,Urban,0,8.7804,5.2943,3.4861,1.84649,0.0
2024-01-05,HH_033,Urban,0,13.1906,7.8975,5.2931,2.76834,0.0
2024-01-05,HH_034,Rural,0,5.0864,3.1236,1.9627999999999999,1.07532,0.0
2024-01-05,HH_035,Rural,0,5.3254,3.1978,2.1276,1.11859,0.0
2024-01-05,HH_036,Rural,0,5.2063,3.1629,2.0434,1.097235,0.0
2024-01-05,HH_037,Semi-urban,0,8.5248,5.3594,3.1654,1.81466,0.0
2024-01-05,HH_038,Urban,0,8.955,5.4413,3.5137,1.8873799999999998,0.0
2024-01-05,HH_039,Rural,0,5.3654,3.3724,1.9929999999999999,1.14205,0.0
2024-01-05,HH_040,Semi-urban,0,8.9161,5.5866,3.3295,1.896075,0.0
2024-01-05,HH_041,Urban,0,8.5441,5.29,3.2541,1.810615,0.0
2024-01-05,HH_042,Semi-urban,0,8.5175,5.1284,3.3891,1.790465,0.0
2024-01-05,HH_043,Urban,1,11.9307,7.7291,4.2016,2.562515,0.596535
2024-01-05,HH_044,Rural,0,5.1903999999999995,3.1908,1.9996,1.09764,0.0
2024-01-05,HH_045,Semi-urban,0,9.003,5.4714,3.5316,1.89759,0.0
2024-01-05,HH_046,Rural,0,5.0553,3.175,1.8803,1.0757949999999998,0.0
2024-01-05,HH_047,Semi-urban,1,6.8575,5.0706999999999995,1.7868,1.5356949999999998,0.34287500000000004
2024-01-05,HH_048,Rural,0,5.3309999999999995,3.2185,2.1125,1.1215,0.0
2024-01-05,HH_049,Rural,0,5.4031,3.2965999999999998,2.1065,1.1401249999999998,0.0
2024-01-05,HH_050,Urban,0,13.049,7.7648,5.2842,2.73383,0.0
2024-01-05,HH_051,Rural,0,5.2188,3.2159,2.0029,1.10441,0.0
2024-01-05,HH_052,Rural,0,5.3079,3.3081,1.9998,1.126995,0.0
2024-01-05,HH_053,Rural,0,5.4318,3.2284,2.2034,1.13761,0.0
2024-01-05,HH_054,Rural,0,5.505,3.1704999999999997,2.3345,1.1427999999999998,0.0
2024-01-05,HH_055,Rural,1,4.11,2.9243,1.1857,0.90893,0.20550000000000002
2024-01-05,HH_056,Rural,1,4.3169,3.0126,1.3043,0.9487949999999999,0.21584500000000004
2024-01-05,HH_057,Urban,0,8.5618,5.3363,3.2255,1.8178999999999998,0.0
